CREATED AT,TIME ZONE OFFSET,USER GENDER,VENUE ID,VENUE LATITUDE,VENUE LONGITUDE,CITY,COUNTRY,VENUE MACRO-CATEGORY ID,VENUE MACRO-CATEGORY NAME,VENUE CATEGORY ID,VENUE CATEGORY NAME,CHECK-INS COUNT,VENUE LIKES,VENUE RATING
1511636924,-120,male,519f42b4498e0e64c7090128,-27.432505358753662,-48.46179976373941,none,Brazil,4d4b7105d754a06379d81259,Travel & Transport,4bf58dd8d48988d1fa931735,Hotel,0,none,none
1511699567,-120,female,4e9506a3e5fa809748c79bf7,-27.378171161273144,-48.62940006172623,none,Brazil,4d4b7105d754a06377d81259,Outdoors & Recreation,50aa9e094b90af0d42d5de0d,City,0,none,none
1511707870,-120,male,500880b4d86cca0158213018,-27.642089673404907,-48.67142778567661,Palhoça,Brazil,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d16e941735,Fast Food Restaurant,0,none,none
1511828500,-120,male,55f58652498e9121a5e08d3c,-27.63918895588984,-48.636332006334044,none,Brazil,4d4b7105d754a06373d81259,Event,5267e4d9e4b0ec79466e48c8,Other Event,0,none,none
1511868188,-120,female,51ac1844498eeebbae408eb8,-27.58977483327268,-48.708454493353386,none,Brazil,4d4b7105d754a06377d81259,Outdoors & Recreation,4bf58dd8d48988d176941735,Gym,0,none,none
1511894684,-120,male,4bba8cca935e9521db522890,-27.584944100438715,-48.5452481770801,Florianópolis,Brazil,4d4b7105d754a06378d81259,Shop & Service,4bf58dd8d48988d1fd941735,Shopping Mall,0,none,none
1511915854,-120,none,58c00fe30e0a1e15b4f79579,-27.63176247116845,-48.65744987815072,Palhoça,Brazil,4d4b7105d754a06376d81259,Nightlife Spot,4bf58dd8d48988d121941735,Lounge,0,none,none
1512055557,-120,female,5444c4f2498e539191755af6,-27.56413640750714,-48.78443403700089,none,Brazil,4e67e38e036454776db1fb3a,Residence,4bf58dd8d48988d103941735,Home (private),0,none,none
1512056295,-120,male,57f8f454498e82d3780f2fcd,-27.601806652247248,-48.63773345271223,none,Brazil,4d4b7105d754a06378d81259,Shop & Service,52f2ab2ebcbc57f1066b8b44,Auto Garage,0,none,none
1512074476,-120,female,4b66095df964a520f50f2be3,-27.59029942669905,-48.515101383127366,Florianópolis,Brazil,4d4b7105d754a06378d81259,Shop & Service,4bf58dd8d48988d1fd941735,Shopping Mall,0,none,none
1510781969,-120,female,4bba8cca935e9521db522890,-27.584944100438715,-48.5452481770801,Florianópolis,Brazil,4d4b7105d754a06378d81259,Shop & Service,4bf58dd8d48988d1fd941735,Shopping Mall,0,none,none
1510963124,-120,female,5616ff5b498e5362b414825b,-27.56693458557129,-48.62712860107422,none,Brazil,4d4b7105d754a06376d81259,Nightlife Spot,4bf58dd8d48988d118941735,Dive Bar,0,none,none
1511038576,-120,female,4f11c354e4b0aabf1815b872,-27.399466322593774,-48.616677516909704,Governador Celso Ramos,Brazil,4d4b7105d754a06375d81259,Professional & Other Places,4bf58dd8d48988d132941735,Church,0,none,none
1511391276,-120,male,5319c88e498e00eeba255f6f,-27.75005405486037,-48.633052404658926,Enseada de Brito,Brazil,4d4b7104d754a06370d81259,Arts & Entertainment,4bf58dd8d48988d1f1931735,General Entertainment,0,none,none
